tanggal,temperatur_rata,kelembapan_rata,curah_hujan,lamanya_penyinaran_matahari,kecepatan_angin_rata,cuaca
2023-01-07,28.9,82.0,3.4,8.9,3.0,Hujan Ringan
2023-01-08,27.5,84.0,3.4,9.2,3.0,Hujan Ringan
2023-01-09,28.8,82.0,3.4,4.1,3.0,Hujan Ringan
2023-01-10,29.2,79.0,3.4,6.5,3.0,Hujan Ringan
2023-01-11,28.6,79.0,0.0,4.6,2.0,Cerah
2023-01-12,28.9,82.0,3.4,2.8,1.0,Hujan Ringan
2023-01-13,28.3,84.0,3.4,8.4,2.0,Hujan Ringan
2023-01-14,28.8,84.0,0.1,3.6,1.0,Hujan Ringan
2023-01-15,28.7,81.0,1.2,6.6,2.0,Hujan Ringan
2023-01-16,27.5,86.0,3.4,7.3,2.0,Hujan Ringan
2023-01-17,26.9,88.0,14.5,4.9,2.0,Hujan Ringan
2023-01-18,26.7,89.0,0.0,0.0,1.0,Cerah
2023-01-19,27.0,88.0,6.9,0.0,2.0,Hujan Ringan
2023-01-20,27.5,86.0,3.4,2.3,2.0,Hujan Ringan
2023-01-21,28.0,84.0,3.4,2.5,2.0,Hujan Ringan
2023-01-22,28.4,83.0,3.4,5.7,3.0,Hujan Ringan
